id,zipcode,price_buy,price_median,cond_type,price_sale,gain_tot,date_sale
7129300520,98178,"221900,0","279500,0",regular,"450457,0","228557,0",summer
2976800796,98178,"236000,0","279500,0",regular,"479080,0","243080,0",summer
1180003090,98178,"190000,0","279500,0",regular,"298870,0","108870,0",winter
179000350,98178,"194000,0","279500,0",regular,"455900,0","261900,0",summer
3810000202,98178,"251700,0","279500,0",regular,"442992,0","191292,0",summer
4058802105,98178,"150000,0","279500,0",regular,"406395,0","256395,0",winter
179003055,98178,"210000,0","279500,0",regular,"493500,0","283500,0",summer
7813200115,98178,"100000,0","279500,0",regular,"208000,0","108000,0",winter
3352402250,98178,"119900,0","279500,0",regular,"249392,0","129492,0",summer
399000195,98178,"200000,0","279500,0",regular,"470000,0","270000,0",summer
185000161,98178,"261000,0","279500,0",regular,"459360,0","198360,0",summer
8068000305,98178,"241000,0","279500,0",regular,"424160,0","183160,0",winter
7812800865,98178,"170000,0","279500,0",regular,"353600,0","183600,0",summer
7657600195,98178,"199950,0","279500,0",regular,"541724,535","341774,53500000003",summer
2520900301,98178,"239300,0","279500,0",regular,"485779,0","246479,0",winter
7812800515,98178,"159075,0","279500,0",regular,"330876,0","171801,0",summer
179001425,98178,"230000,0","279500,0",regular,"306130,0","76130,0",winter
7812800775,98178,"264250,0","279500,0",regular,"631372,525","367122,525",summer
179000505,98178,"257000,0","279500,0",regular,"452320,0","195320,0",winter
1180002735,98178,"269000,0","279500,0",good,"461523,3","192523,3",winter
4279900140,98178,"251000,0","279500,0",good,"389301,0","138301,0",summer
3352401090,98178,"238950,0","279500,0",regular,"459907,065","220957,065",winter
2976800749,98178,"150000,0","279500,0",regular,"352500,0","202500,0",summer
7812800995,98178,"200000,0","279500,0",regular,"416000,0","216000,0",winter
4059400515,98178,"229950,0","279500,0",regular,"404712,0","174762,0",summer
7812801590,98178,"219900,0","279500,0",regular,"446397,0","226497,0",winter
3352400351,98178,"200000,0","279500,0",good,"366600,0","166600,0",summer
7812801850,98178,"194000,0","279500,0",regular,"403520,0","209520,0",winter
7657600005,98178,"249950,0","279500,0",good,"455158,95","205208,95",winter
2171400199,98178,"277554,0","279500,0",regular,"563434,62","285880,62",summer
7689600630,98178,"216500,0","279500,0",good,"335791,5","119291,5",winter
4059400190,98178,"225000,0","279500,0",good,"348975,0","123975,0",winter
3352401476,98178,"199988,0","279500,0",regular,"415975,04","215987,03999999998",summer
7689600215,98178,"202500,0","279500,0",regular,"475875,0","273375,0",summer
3352400661,98178,"135900,0","279500,0",regular,"282672,0","146772,0",summer
4060000240,98178,"205425,0","279500,0",good,"376544,025","171119,025",winter
5476200160,98178,"164808,0","279500,0",regular,"387298,80000000005","222490,80000000002",winter
2171400126,98178,"269000,0","279500,0",regular,"473440,0","204440,0",summer
7812800310,98178,"260000,0","279500,0",regular,"500422,0","240422,0",summer
3810000565,98178,"255000,0","279500,0",regular,"448800,0","193800,0",summer
5476200123,98178,"200000,0","279500,0",regular,"416000,0","216000,0",winter
7657000165,98178,"200000,0","279500,0",regular,"470000,0","270000,0",winter
3348401584,98178,"210000,0","279500,0",regular,"568953,0","358953,0",winter
3352402195,98178,"169000,0","279500,0",regular,"397150,0","228150,0",winter
9282801950,98178,"279000,0","279500,0",regular,"566370,0","287370,0",summer
8068000585,98178,"235000,0","279500,0",good,"364485,0","129485,0",summer
